Time	CSNum	Store	Evict	AskNum	StepDist	AllDist
900	180	180	0	94	1.9042553191489362	1.9042553191489362
1800	343	163	0	103	1.5825242718446602	1.736040609137056
2700	478	135	0	94	1.4361702127659575	1.6391752577319587
3600	616	138	0	96	1.4375	1.5891472868217054
4500	752	136	0	102	1.3333333333333333	1.5357873210633948
5400	852	100	0	79	1.2658227848101267	1.4982394366197183
6300	981	129	0	103	1.2524271844660195	1.4605067064083457
7200	1097	116	0	103	1.1262135922330097	1.4160206718346253
8100	1212	115	0	97	1.1855670103092784	1.3903559127439724
9000	1322	110	0	93	1.1827956989247312	1.370331950207469
9900	1434	112	0	96	1.1666666666666667	1.3518867924528302
10800	1523	89	0	86	1.0348837209302326	1.3280977312390925
11700	1645	122	0	123	0.991869918699187	1.2955082742316786
12600	1728	83	0	92	0.9021739130434783	1.2689199118295371
13500	1827	99	0	110	0.9	1.2413324269204622
14400	1908	81	0	83	0.9759036144578314	1.2271557271557272
15300	2003	95	0	98	0.9693877551020408	1.2118644067796611
16200	2093	90	0	99	0.9090909090909091	1.194745859508852
17100	2184	91	0	99	0.9191919191919192	1.18
18000	2265	81	0	95	0.8526315789473684	1.1640102827763497
18900	2196	110	179	113	0.9734513274336283	1.15354713313897
19800	2137	104	163	112	0.9285714285714286	1.1419354838709677
20700	2102	100	135	96	1.0416666666666667	1.1376875551632832
21600	2056	92	138	96	0.9583333333333334	1.130397967823878
22500	2017	97	136	91	1.065934065934066	1.1280065226253566
23400	2029	112	100	117	0.9572649572649573	1.1202334630350195
24300	1996	96	129	96	1.0	1.1159039759939986
25200	1971	91	116	98	0.9285714285714286	1.109261939218524
26100	1963	107	115	114	0.9385964912280702	1.1025017373175816
27000	1956	103	110	95	1.0842105263157895	1.101917255297679
27900	1943	99	112	100	0.99	1.0982753010087862
28800	1972	118	89	112	1.0535714285714286	1.0967032967032968
29700	1954	104	122	100	1.04	1.0949771689497716
30600	1971	100	83	103	0.970873786407767	1.0912042502951593
31500	1987	115	99	111	1.0360360360360361	1.0894541297513576
32400	2002	96	81	96	1.0	1.0870653685674547
33300	1991	84	95	90	0.9333333333333333	1.0833107191316147
34200	2002	101	90	99	1.02020202020202	1.0816596194503172
35100	1994	83	91	96	0.8645833333333334	1.0762886597938144
36000	2004	91	81	91	1.0	1.0745404180307228
36900	1994	100	110	93	1.075268817204301	1.0745570866141732
37800	1974	84	104	93	0.9032258064516129	1.0707240798652875
38700	1953	79	100	83	0.9518072289156626	1.0683962264150944
39600	1944	83	92	89	0.9325842696629213	1.0656040656040655
40500	1933	86	97	86	1.0	1.064326160815402
41400	1934	113	112	107	1.0560747663551402	1.0641309155241043
42300	1935	97	96	101	0.9603960396039604	1.0618645900930133
43200	1943	99	91	108	0.9166666666666666	1.0585499894314099
44100	1963	127	107	111	1.1441441441441442	1.060512185047501
45000	1974	114	103	114	1.0	1.0591202582728005
45900	1950	75	99	90	0.8333333333333334	1.0550931430836306
46800	1946	114	118	104	1.0961538461538463	1.0559223300970875
47700	1958	116	104	109	1.0642201834862386	1.0560943145084616
48600	1956	98	100	97	1.0103092783505154	1.0552651232262882
49500	1946	105	115	114	0.9210526315789473	1.0524680073126143
50400	1947	97	96	101	0.9603960396039604	1.0507987793932867
51300	1961	98	84	103	0.9514563106796117	1.048995417694748
52200	1934	74	101	79	0.9367088607594937	1.0474535025204241
53100	1958	107	83	120	0.8916666666666667	1.0442703899199728
54000	1952	85	91	84	1.0119047619047619	1.0438140003357395
54900	1944	92	100	94	0.9787234042553191	1.042802842505371
55800	1976	116	84	109	1.0642201834862386	1.0431818181818182
56700	1977	80	79	94	0.851063829787234	1.040294211704509
57600	1990	96	83	101	0.9504950495049505	1.0388670338316286
58500	1984	80	86	85	0.9411764705882353	1.0375776397515528
59400	1979	108	113	107	1.0093457943925233	1.0371162364441728
60300	2010	128	97	119	1.0756302521008403	1.0378037803780378
61200	2004	93	99	86	1.0813953488372092	1.0383590047393365
62100	1962	85	127	82	1.0365853658536586	1.038337723148961
63000	1939	91	114	96	0.9479166666666666	1.037085137085137
63900	1954	90	75	99	0.9090909090909091	1.0352824014795845
64800	1917	77	114	81	0.9506172839506173	1.0343178621659634
65700	1894	93	116	99	0.9393939393939394	1.0330142876959356
66600	1879	83	98	87	0.9540229885057471	1.0320723684210527
67500	1869	95	105	93	1.021505376344086	1.031939369332792
68400	1876	104	97	116	0.896551724137931	1.0298467688207862
69300	1879	101	98	107	0.9439252336448598	1.0286389910667368
70200	1918	113	74	107	1.0560747663551402	1.0290193030185257
71100	1902	91	107	105	0.8666666666666667	1.026840490797546
72000	1912	95	85	92	1.0326086956521738	1.0269075290550784
72900	1904	84	92	89	0.9438202247191011	1.0259837601499062
73800	1871	83	116	90	0.9222222222222223	1.024830142063002
74700	1885	94	80	95	0.9894736842105263	1.0244200244200243
75600	1873	84	96	81	1.037037037037037	1.0245435860234555
76500	1890	97	80	91	1.065934065934066	1.0249940205692418
77400	1888	106	108	101	1.0495049504950495	1.0252865414155736
78300	1869	109	128	109	1.0	1.0249650023331778
79200	1870	94	93	98	0.9591836734693877	1.0242214532871972
80100	1905	120	85	111	1.0810810810810811	1.0249402118209772
81000	1917	103	91	100	1.03	1.024997185001689
81900	1948	121	90	111	1.09009009009009	1.0258007117437722
82800	1965	94	77	92	1.0217391304347827	1.0257595772787318
83700	1986	114	93	110	1.0363636363636364	1.0258864476832716
84600	2016	113	83	104	1.0865384615384615	1.0265648526564852
85500	1998	77	95	82	0.9390243902439024	1.0257995735607677
86400	1983	89	104	101	0.8811881188118812	1.0242590444045987
87300	1978	96	101	100	0.96	1.023588351946561
88200	1964	99	113	96	1.03125	1.023664358788881
89100	1952	79	91	92	0.8586956521739131	1.022110758521855
90000	1957	100	95	105	0.9523809523809523	1.02136925258254
90900	1989	116	84	109	1.0642201834862386	1.0218371231092858
91800	2014	108	83	109	0.9908256880733946	1.0215021799445105
92700	2003	83	94	87	0.9540229885057471	1.0209254347185381
93600	2026	107	84	108	0.9907407407407407	1.0206085350442307
94500	2026	97	97	99	0.9797979797979798	1.0202195262853841
95400	2020	100	106	99	1.0101010101010102	1.0201239866475917
96300	2008	97	109	106	0.9150943396226415	1.019072797658389
97200	1998	84	94	97	0.865979381443299	1.017683383233533
98100	1971	93	120	100	0.93	1.0168705969595848
99000	1973	105	103	106	0.9905660377358491	1.0166146502662017
99900	1940	88	121	91	0.967032967032967	1.0162039144287665
100800	1963	117	94	108	1.0833333333333333	1.0168574776886325
101700	1967	118	114	115	1.0260869565217392	1.016952177016417
102600	1958	104	113	113	0.9203539823008849	1.01598798692695
103500	1991	110	77	113	0.9734513274336283	1.015567605387441
104400	2004	102	89	95	1.0736842105263158	1.0160464914563274
105300	2001	93	96	99	0.9393939393939394	1.0153938768489852
106200	2005	103	99	97	1.0618556701030928	1.0157782515991471
107100	2029	103	79	101	1.0297029702970297	1.0158971757145274
108000	2013	84	100	98	0.8571428571428571	1.0145924186514592
108900	1989	92	116	91	1.010989010989011	1.0145651269246776
109800	1975	94	108	99	0.9494949494949495	1.0140333498431566
110700	1980	88	83	89	0.9887640449438202	1.0138490535114315
111600	1985	112	107	114	0.9824561403508771	1.0135584963871072
112500	2003	115	97	107	1.074766355140187	1.0140856406954282
113400	2008	105	100	102	1.0294117647058822	1.0142104422800575
114300	2007	96	97	101	0.9504950495049505	1.0137007998732874
115200	2017	94	84	92	1.0217391304347827	1.0137589433131535
116100	2030	106	93	102	1.0392156862745099	1.0139614694641603
117000	2016	91	105	99	0.9191919191919192	1.013235294117647
117900	2028	100	88	100	1.0	1.0131336405529954
118800	2024	113	117	111	1.018018018018018	1.0131749295560124
119700	2006	100	118	108	0.9259259259259259	1.012463176977113
120600	1979	77	104	85	0.9058823529411765	1.0117832482737916
121500	1966	97	110	92	1.0543478260869565	1.0120751341681575
